Name;Rating;Positive;Negative;Comment
Смарт-часы Xiaomi Amazfit Bip Red;5;Цена и качество соответствуют! Отличное качество пластика корпуса и ремешка;;Все отлично. Всем рекомендую
Смарт-часы Xiaomi Amazfit Bip Red;4;Хорошо держится заряд батареи, уже неделю как пользуюсь, 89% держит. Как бюджетный вариант смарт-часов оправдал все ожидания.;Не очень удобный ремешок у часов. Ошиблась при выборе цвета, нужно было чёрную расцветку заказывать.;
Смарт-часы Xiaomi Amazfit Bip Red;5;Красивый, удобный, информативный, после подключения к Mi Fit пришли обновления, и все стало на русском. При помощи сторонних приложений можно найти сотни циферблатов на любой вкус. Успел походить два дня в нем, потом отобрала жена) Заказал ещё один;Нельзя управлять музыкой, gps немного врет - когда пробежал один круг, а он нарисовал какую-то восьмёрку) Непонятно, в чем причина);В целом всем доволен. На руке стильно сидят, ремешок стандартный, можно подобрать любой другой в магазине с часами. Обратите внимание, что часы все-таки не красные, они больше оранжевые
Смарт-часы Xiaomi Amazfit Bip Red;5;;;Часы реальные. Рекомендую всем.
Смарт-часы Xiaomi Amazfit Bip Red;5;Брал в подарок, обладательница часов довольна!;;Полезный и удобный аксессуар, рекомендую!
Смарт-часы Xiaomi Amazfit Bip Red;5;Фитнес часы хорошего качества, браслет гелевый, мягкий, шагомер вроде работает правильно.;;Товар стоит своих денег. Спасибо большое, Каспи за самое удобное и выгодное приложение.
Смарт-часы Xiaomi Amazfit Bip Red;5;Дизайн. Цена. Качество.;Долго настраивать.;Действительно водонепроницаемые.
Смарт-часы Xiaomi Amazfit Bip Red;5;Батарея сильная;;Товар хороший. Стоит приобрести
Смарт-часы Xiaomi Amazfit Bip Red;4;;;Заряд держит больше месяца, но стекло поцарапалось уже через 2 недели. Хорошие часы, но стекло жалко, всё в царапках.
Смарт-часы Xiaomi Amazfit Bip Red;5;Отличные часы. Лёгкие, удобные. Тестирую 5 дней, пока что все устраивает. Вот только заряд расходуется почему-то быстро. Изначально было 88%, прошло 5 дней - уже 51%. Пока что в целом все устраивает, за исключением аккумулятора. Попробую зарядить их на 100% и посмотрю, как дальше будет.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Автономность до 30 дней (без тренировок, пульса и gps).;Ремешок удобный, но кожа под ним потеет.;
Смарт-часы Xiaomi Amazfit Bip Red;5;;;Часы хорошие. Свою работу выполняют.
Смарт-часы Xiaomi Amazfit Bip Red;5;Покупала своему сыну, он очень обрадовался, остался доволен часами, почти не снимает их.;;
